Time (s),Ux,Uy,Uz,k,omega,p
853,0.000196866376696,8.50308867885e-06,0.000282043489715,9.57254174904e-05,3.03745549363e-06,0.00351192106047
854,0.000195686390379,8.45100719005e-06,0.000280794666213,9.5032783499e-05,3.01620314387e-06,0.00350014047761
855,0.000194435623148,8.40433201259e-06,0.000279639140781,9.43538711247e-05,2.9973979426e-06,0.0034903882779
856,0.000193238349101,8.34859316118e-06,0.000278232093477,9.36820990935e-05,2.97692553533e-06,0.00347291761259
857,0.000192402129472,8.29745076251e-06,0.000277082779861,9.30069896259e-05,2.95650000297e-06,0.0034663475065
858,0.000191353376764,8.24682962975e-06,0.000275706864037,9.23419728856e-05,2.93637313503e-06,0.00346233719785
859,0.000190130370443,8.20367727316e-06,0.000274076606651,9.16841070196e-05,2.9189999252e-06,0.00344771548991
860,0.000188905653942,8.16135890491e-06,0.000272010976401,9.10343489416e-05,2.89983395661e-06,0.00344230022714
861,0.000187615049856,8.12624002144e-06,0.000269844631021,9.03875983877e-05,2.88315054309e-06,0.0034478354692
862,0.000186323936232,8.08128343535e-06,0.000267578640133,8.97365931884e-05,2.86692651247e-06,0.00344920801241
863,0.000185116995857,8.04602128802e-06,0.000265687007178,8.90821207249e-05,2.84863034985e-06,0.0034421251585
864,0.000184051677169,8.00051456574e-06,0.000263754210444,8.84239663063e-05,2.83165462762e-06,0.00343985099025
865,0.000183007909942,7.96030612461e-06,0.000261923636252,8.77633447308e-05,2.81604209301e-06,0.00343304653599
866,0.000181852293779,7.91783872677e-06,0.000259840979676,8.71000541722e-05,2.80479478788e-06,0.00342319087228
